Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.51.50:58343 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.61.200:33737 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.63.50:5353 -> 224.0.0.251:5353 | Protocol: UDP
Blocked Port: 172.16.59.198:33564 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 10.10.91.157:53164 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 172.16.60.197:60480 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.62.187:51111 -> 255.255.255.255:10001 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 172.16.63.50:137 -> 172.16.63.255:137 | Protocol: UDP
Blocked Port: 10.10.90.113:52193 -> 255.255.255.255:29810 | Protocol: UDP
Blocked Port: 0.0.0.0:68 -> 255.255.255.255:67 | Protocol: UDP
