2025-03-18 13:38:15.409595 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:15.508459 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:15.607827 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:16.153038 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:16.153038 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:16.351432 - 172.16.63.134 -> 142.250.193.42 | Protocol: UDP | Port: 443
2025-03-18 13:38:16.351432 - 142.250.193.42 -> 172.16.63.134 | Protocol: UDP | Port: 54777
2025-03-18 13:38:16.542572 - 172.16.62.166 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:16.938607 - 172.16.62.87 -> 255.255.255.255 | Protocol: UDP | Port: 161
2025-03-18 13:38:16.938607 - 172.16.62.87 -> 255.255.255.255 | Protocol: UDP | Port: 161
2025-03-18 13:38:17.121345 - 172.16.63.134 -> 142.250.194.174 | Protocol: UDP | Port: 443
2025-03-18 13:38:17.145722 - 10.10.90.132 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:17.158156 - 142.250.194.174 -> 172.16.63.134 | Protocol: UDP | Port: 60172
2025-03-18 13:38:17.779242 - 172.16.63.134 -> 142.250.77.234 | Protocol: UDP | Port: 443
2025-03-18 13:38:17.801374 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:17.969814 - 10.10.90.109 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:18.057803 - 10.10.90.122 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:18.073904 - 10.10.90.107 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:18.172928 - 10.10.90.110 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:18.366939 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:18.505817 - 172.16.63.134 -> 142.250.192.238 | Protocol: UDP | Port: 443
2025-03-18 13:38:18.524002 - 142.250.192.238 -> 172.16.63.134 | Protocol: UDP | Port: 52739
2025-03-18 13:38:18.780098 - 172.16.7.119 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:18.780098 - 172.16.7.119 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:18.890154 - 172.16.62.188 -> 224.0.0.251 | Protocol: UDP | Port: 5353
2025-03-18 13:38:19.298594 - 10.10.90.111 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:19.653723 - 150.171.22.12 -> 172.16.63.134 | Protocol: TCP | Port: 52227
2025-03-18 13:38:19.672348 - 172.16.63.134 -> 150.171.22.12 | Protocol: TCP | Port: 443
2025-03-18 13:38:19.674350 - 172.16.63.134 -> 150.171.22.12 | Protocol: TCP | Port: 443
2025-03-18 13:38:19.678040 - 150.171.22.12 -> 172.16.63.134 | Protocol: TCP | Port: 52227
2025-03-18 13:38:19.712395 - 10.10.90.98 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:19.916130 - 0.0.0.0 -> 255.255.255.255 | Protocol: UDP | Port: 67
2025-03-18 13:38:19.916130 - 10.10.90.135 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:19.916130 - 10.10.91.153 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:20.021201 - 10.10.90.121 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:20.156234 - 172.16.63.134 -> 150.171.22.12 | Protocol: TCP | Port: 443
2025-03-18 13:38:20.168845 - 150.171.22.12 -> 172.16.63.134 | Protocol: TCP | Port: 52227
2025-03-18 13:38:20.226658 - 10.10.90.114 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:20.322886 - 10.10.90.124 -> 255.255.255.255 | Protocol: UDP | Port: 29810
2025-03-18 13:38:20.438805 - 150.171.22.12 -> 172.16.63.134 | Protocol: TCP | Port: 52227
2025-03-18 13:38:21.040306 - 142.250.77.234 -> 172.16.63.134 | Protocol: UDP | Port: 64757
2025-03-18 13:38:21.203085 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.205555 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.264401 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.264401 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.271441 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.274112 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.276896 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.277904 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.278905 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.286062 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.290067 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.298902 - 8.8.8.8 -> 172.16.63.134 | Protocol: UDP | Port: 52435
2025-03-18 13:38:21.300102 - 34.117.59.81 -> 172.16.63.134 | Protocol: UDP | Port: 54937
